name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
CDK,cdk-team,4243,575,Go,2020-11-05T09:18:51Z,2025-06-21T06:11:55Z,10005,4243,15,Organization,2,,73,22,18,6,2
plow,six-ddc,4231,141,Go,2021-06-13T09:10:43Z,2025-06-16T13:55:52Z,2907,4231,22,User,86,,30,8,9,1,11
WuKongIM,WuKongIM,4218,531,Go,2023-05-09T01:46:51Z,2025-06-22T00:28:33Z,76792,4218,35,Organization,25,,31,384,14,142,0
bun,uptrace,4214,250,Go,2021-05-03T11:40:52Z,2025-06-21T09:28:38Z,3504,4214,23,Organization,31,Moldova,28,291,106,162,4
rudder-server,rudderlabs,4213,339,Go,2019-07-19T09:24:38Z,2025-06-21T04:29:22Z,323770,4213,25,Organization,265,United States of America,62,601,102,657,14
code,goinaction,4212,2404,Go,2014-03-13T17:56:50Z,2025-06-21T14:33:50Z,4338,4212,145,Organization,3,,201,0,6,5,11
cointop,cointop-sh,4211,330,Go,2018-03-29T22:03:28Z,2025-06-20T23:19:50Z,26364,4211,51,Organization,3,127.0.0.1,69,0,21,0,6
go-stress-testing,link1st,4206,818,Go,2019-08-15T05:17:19Z,2025-06-21T12:28:31Z,4555,4206,5,User,26,"Beijing, China",61,19,9,4,0
dig,uber-go,4202,217,Go,2017-03-21T23:55:50Z,2025-06-20T15:51:53Z,808,4202,29,Organization,26,70+ countries and counting.,45,17,33,17,8
whalebrew,whalebrew,4199,110,Go,2017-01-22T13:00:22Z,2025-06-19T19:36:45Z,541,4199,33,Organization,2,,40,19,26,1,13
godropbox,dropbox,4196,434,Go,2014-06-22T23:09:29Z,2025-06-13T10:22:29Z,752,4196,6,Organization,230,San Francisco,241,0,41,0,2
river,riverqueue,4185,111,Go,2023-11-08T17:43:41Z,2025-06-21T22:43:10Z,3264,4185,29,Organization,10,United States of America,22,326,26,244,3
postgres-operator,CrunchyData,4161,618,Go,2017-02-27T22:21:44Z,2025-06-21T16:19:44Z,66325,4161,134,Organization,64,"Charleston, SC",65,245,90,132,7
whatsapp-mcp,lharries,4159,596,Go,2025-03-29T12:49:33Z,2025-06-22T06:08:25Z,3030,4159,49,User,39,London,40,26,4,29,16
httprunner,httprunner,4152,1282,Go,2017-06-13T03:54:29Z,2025-06-19T12:48:23Z,46871,4152,512,Organization,24,,149,549,32,3,13
sonyflake,sony,4150,313,Go,2015-05-29T06:02:42Z,2025-06-21T11:18:29Z,54,4150,3,Organization,105,"Minato-ku, Tokyo, Japan",54,10,5,20,1
go-mysql-elasticsearch,go-mysql-org,4150,801,Go,2015-01-15T09:54:18Z,2025-06-18T10:01:56Z,1939,4150,217,Organization,2,,175,0,16,0,10
gotosocial,superseriousbusiness,4149,367,Go,2021-02-27T12:42:23Z,2025-06-22T04:26:35Z,363334,4149,0,Organization,10,,38,706,132,2000,0
echoip,mpolden,4147,540,Go,2012-11-19T22:56:08Z,2025-06-18T11:48:54Z,338,4147,45,User,32,"Trondheim, Norway",85,0,24,0,7
wish,charmbracelet,4145,85,Go,2019-12-19T00:11:55Z,2025-06-19T14:16:30Z,876,4145,14,Organization,46,/dev/tty,12,144,16,84,6
xid,rs,4141,207,Go,2015-11-10T20:32:24Z,2025-06-19T00:52:00Z,91,4141,17,User,122,"Silicon Valley, California, USA",34,5,42,5,1
testcontainers-go,testcontainers,4134,547,Go,2018-07-18T15:04:31Z,2025-06-21T06:29:29Z,21422,4134,138,Organization,68,,16,371,249,269,43
goldmark,yuin,4132,266,Go,2019-04-26T11:24:21Z,2025-06-22T03:49:22Z,8660,4132,8,User,33,"Tokyo, Japan",33,31,51,25,5
kscan,lcvvvv,4130,540,Go,2021-01-25T02:15:36Z,2025-06-19T11:45:42Z,84314,4130,45,User,24,Changsha,44,0,5,3,0
supervisord,ochinchina,4127,593,Go,2016-09-25T09:10:43Z,2025-06-19T14:44:04Z,6070,4127,162,User,44,"NOKIA Chengdu, China",82,18,51,13,3
endless,fvbock,4124,345,Go,2015-03-22T04:42:51Z,2025-06-21T00:43:09Z,48,4124,35,User,62,Tokyo,84,0,6,0,12
ledisdb,ledisdb,4115,436,Go,2014-04-30T00:43:09Z,2025-06-17T19:33:38Z,4234,4115,0,Organization,3,,181,0,22,1,0
bild,anthonynsimon,4112,216,Go,2016-08-01T15:54:29Z,2025-06-18T07:13:56Z,9284,4112,20,User,59,,72,15,17,1,3
survey,AlecAivazis,4110,357,Go,2016-10-30T17:03:15Z,2025-06-17T19:53:38Z,3773,4110,75,User,80,,29,0,62,0,14
examples,gin-gonic,4107,684,Go,2019-03-01T03:16:53Z,2025-06-21T09:24:26Z,563,4107,21,Organization,13,$GOPATH,47,37,62,36,6
gotrue,netlify,4107,307,Go,2016-05-16T23:14:24Z,2025-06-20T14:05:17Z,7327,4107,28,Organization,360,San Francisco,61,4,34,4,24
