name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
EhViewer,FooIbar,3154,172,Kotlin,2022-11-17T19:24:13Z,2025-06-22T07:24:42Z,158362,3154,59,User,21,,20,923,54,372,13
JsonToKotlinClass,wuseal,3143,178,Kotlin,2017-08-29T03:28:50Z,2025-06-22T07:24:36Z,8033,3143,54,User,37,Hangzhou,32,18,30,6,0
mockito-kotlin,mockito,3138,202,Kotlin,2016-01-18T20:48:20Z,2025-06-11T00:56:16Z,674,3138,83,Organization,14,,41,7,51,2,5
vlc-android,videolan,3129,678,Kotlin,2018-03-01T11:37:03Z,2025-06-21T09:17:31Z,67631,3129,5,Organization,17,The internet,77,646,184,4,2
PeopleInSpace,joreilly,3126,276,Kotlin,2019-12-22T20:19:16Z,2025-06-22T09:22:34Z,73090,3126,20,User,56,"Galway, Ireland",40,59,30,7,11
SKIP,GuoXiCheng,3109,196,Kotlin,2022-06-23T00:54:37Z,2025-06-22T01:19:54Z,167306,3109,53,User,17,江苏苏州,13,290,3,15,0
ksp,google,3102,311,Kotlin,2020-09-22T18:59:42Z,2025-06-21T21:58:34Z,24033,3102,442,Organization,2777,United States of America,61,285,82,183,28
EhViewer,EhViewer-NekoInverter,3102,152,Kotlin,2022-11-03T15:45:54Z,2025-06-22T07:26:13Z,111186,3102,0,Organization,13,loli island,19,125,33,10,0
WordPress-Android,wordpress-mobile,3044,1335,Kotlin,2013-04-08T20:52:40Z,2025-06-21T15:48:03Z,646895,3044,910,Organization,118,,204,2338,213,494,13
BiliRoamingX,BiliRoamingX,3024,213,Kotlin,2023-06-25T07:40:44Z,2025-06-22T04:58:18Z,77769,3024,44,Organization,1,,19,201,49,58,12
jitsi-videobridge,jitsi,2982,1007,Kotlin,2013-04-24T21:21:59Z,2025-06-20T15:16:37Z,233581,2982,174,Organization,171,Global,146,92,77,74,34
ivy-wallet,Ivy-Apps,2955,801,Kotlin,2021-11-03T14:20:08Z,2025-06-22T06:53:04Z,20707,2955,89,Organization,17,Bulgaria,29,190,112,0,0
Tiktok,running-libo,2923,764,Kotlin,2020-06-03T06:30:11Z,2025-06-20T23:41:04Z,94362,2923,56,User,115,北京-朝阳,63,0,1,0,3
extensions-source,keiyoushi,2909,695,Kotlin,2024-01-08T22:47:46Z,2025-06-21T23:32:49Z,102941,2909,643,Organization,8,,15,1705,204,2000,11
