name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
awesome-vite,vitejs,15845,1243,JavaScript,2020-08-21T06:05:43Z,2025-06-21T07:51:58Z,1654,15845,69,Organization,27,,114,174,429,26,44
ChatALL,ai-shifu,15833,1681,JavaScript,2023-04-08T10:34:30Z,2025-06-20T21:31:41Z,151181,15833,243,Organization,7,China,123,92,42,76,16
jasmine,jasmine,15777,2241,JavaScript,2008-12-02T23:46:37Z,2025-06-21T03:20:59Z,9946,15777,5,Organization,11,,437,118,215,26,0
terminalizer,faressoft,15675,508,JavaScript,2018-07-22T16:00:15Z,2025-06-21T03:49:24Z,4118,15675,109,User,78,Berlin,122,4,8,1,15
BullshitGenerator,menzi11,15641,2849,JavaScript,2019-10-28T17:05:51Z,2025-06-19T21:22:52Z,33,15641,152,User,34,Beijing,268,0,5,0,32
blessed-contrib,yaronn,15608,845,JavaScript,2015-01-14T14:18:07Z,2025-06-20T10:23:43Z,5490,15608,97,User,42,Israel,317,0,45,1,15
filepond,pqina,15606,843,JavaScript,2017-10-09T12:17:44Z,2025-06-21T02:52:24Z,4246,15606,136,Organization,78,The Netherlands,158,42,77,21,23
pino,pinojs,15565,900,JavaScript,2016-02-16T14:14:29Z,2025-06-21T04:27:38Z,3108,15565,140,Organization,43,,83,72,318,183,16
WebGL-Fluid-Simulation,PavelDoGreat,15529,1764,JavaScript,2017-08-22T21:30:33Z,2025-06-20T17:58:35Z,3267,15529,76,User,5,Cosmos,214,1,2,1,14
electron-vue,SimulatedGREG,15485,1542,JavaScript,2016-05-12T07:08:12Z,2025-06-19T08:57:38Z,5927,15485,282,User,44,"Houston, Texas",250,0,93,0,13
SillyTavern,SillyTavern,15444,3451,JavaScript,2023-02-09T10:19:24Z,2025-06-21T08:47:29Z,202658,15444,295,Organization,66,,87,4726,227,942,21
N-blog,nswbmw,15427,4616,JavaScript,2013-05-27T06:46:58Z,2025-06-21T01:43:13Z,10727,15427,29,User,134,,920,0,20,0,4
vivus,maxwellito,15377,1137,JavaScript,2014-05-13T22:22:18Z,2025-06-19T08:05:20Z,472,15377,21,User,40,Kuku Lama,271,0,22,0,0
DOMPurify,cure53,15370,788,JavaScript,2014-02-17T21:48:14Z,2025-06-21T02:29:47Z,10029,15370,0,User,20,Berlin,156,141,112,76,0
not-paid,kleampa,15316,1044,JavaScript,2016-10-05T21:24:22Z,2025-06-21T08:11:23Z,38,15316,10,User,2,Bucharest,140,3,4,1,0
gpu.js,gpujs,15267,667,JavaScript,2016-02-09T09:13:37Z,2025-06-18T08:51:52Z,19489,15267,228,Organization,13,,245,2,46,3,26
jsdoc,jsdoc,15252,1462,JavaScript,2010-03-13T09:18:03Z,2025-06-21T00:24:30Z,26262,15252,448,Organization,2,,274,183,81,11,46
33-js-concepts,stephentian,15236,2340,JavaScript,2018-10-16T02:14:05Z,2025-06-20T03:30:13Z,87,15236,7,User,40,,461,0,11,0,0
front-end-guide,grab,15230,1121,JavaScript,2017-04-24T02:06:06Z,2025-06-21T07:30:00Z,4399,15230,24,Organization,41,Singapore,477,0,9,0,23
awesome-shadcn-ui,birobirobiro,15205,887,JavaScript,2024-02-05T19:48:57Z,2025-06-21T07:57:49Z,641,15205,2,User,93,"São Paulo, Brazil	",169,255,151,104,2
headless-recorder,checkly,15132,721,JavaScript,2018-08-13T19:31:11Z,2025-06-17T04:51:53Z,12114,15132,1,Organization,66,Global,183,0,21,0,0
Flat-UI,designmodo,15125,2306,JavaScript,2013-03-03T15:36:49Z,2025-06-21T03:37:04Z,36184,15125,10,Organization,3,World,730,2,29,0,0
volkswagen,auchenberg,15119,242,JavaScript,2015-10-07T16:51:21Z,2025-06-19T20:57:54Z,248,15119,65,User,217,"New York, US",97,0,13,0,42
charts,frappe,15024,738,JavaScript,2017-10-26T10:13:21Z,2025-06-21T03:37:05Z,7007,15024,142,Organization,175,India,214,2,47,4,17
q,kriskowal,14995,1192,JavaScript,2010-09-04T01:21:12Z,2025-06-21T04:42:35Z,1428,14995,115,User,165,"San Francisco Bay Area, CA, USA",403,0,69,4,14
