name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
libgdx,libgdx,24133,6495,Java,2012-08-10T19:34:38Z,2025-06-21T01:36:42Z,1106066,24133,317,Organization,40,,1142,156,332,122,79
jenkins,jenkinsci,24093,9074,Java,2010-11-22T21:21:23Z,2025-06-21T09:16:42Z,165999,24093,85,Organization,2673,United States of America,863,1873,298,798,85
openapi-generator,OpenAPITools,24040,6986,Java,2018-05-12T09:57:56Z,2025-06-21T09:17:34Z,920970,24040,5313,Organization,17,,227,1043,406,860,526
awesome-system-design-resources,ashishps1,23908,5739,Java,2023-10-25T01:50:42Z,2025-06-21T08:55:13Z,2252,23908,3,User,41,Remote,333,74,3,6,0
redisson,redisson,23858,5454,Java,2014-01-11T14:06:25Z,2025-06-21T09:33:09Z,31693,23858,305,Organization,6,,872,1178,186,378,44
gson,google,23826,4336,Java,2015-03-19T18:21:20Z,2025-06-20T15:21:26Z,13648,23826,335,Organization,2777,United States of America,736,95,155,80,100
Chat2DB,CodePhiliaX,23326,2530,Java,2023-06-20T14:05:26Z,2025-06-21T07:11:42Z,18678,23326,501,Organization,11,Singapore,144,197,38,6,42
SmartTube,yuliskov,23265,1244,Java,2020-07-28T12:53:52Z,2025-06-21T11:07:36Z,98596,23265,2542,User,36,,200,2074,121,167,0
source-code-hunter,doocs,22802,4208,Java,2019-10-28T01:35:10Z,2025-06-21T11:11:55Z,71134,22802,8,Organization,16,China,448,14,37,11,0
Sentinel,alibaba,22764,8097,Java,2018-04-04T06:37:33Z,2025-06-20T08:06:12Z,8335,22764,905,Organization,453,"Hangzhou, China",778,3,187,46,220
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,22554,777,Java,2012-11-24T00:14:41Z,2025-06-20T21:10:06Z,340,22554,529,Organization,1,,172,0,31,4,24
Apktool,iBotPeaches,22298,3758,Java,2012-03-19T17:46:53Z,2025-06-21T07:29:05Z,338818,22298,80,User,84,Tampa,681,81,99,129,3
ExoPlayer,google,21848,6034,Java,2014-06-13T21:19:18Z,2025-06-20T21:31:19Z,484242,21848,643,Organization,2777,United States of America,836,1,246,34,8
rocketmq,apache,21840,11876,Java,2016-11-30T08:00:08Z,2025-06-21T01:27:29Z,43653,21840,352,Organization,2790,,860,348,334,519,118
eladmin,elunez,21661,7384,Java,2018-12-14T08:54:24Z,2025-06-21T03:08:34Z,7441,21661,7,User,22,,548,48,52,38,4
jdk,openjdk,21208,6055,Java,2018-09-17T12:29:20Z,2025-06-21T08:17:31Z,1339694,21208,362,Organization,124,,353,5013,175,2000,362
graal,oracle,20936,1716,Java,2016-01-14T17:11:35Z,2025-06-21T06:01:55Z,443303,20936,795,Organization,291,"Austin, TX",464,6626,274,1068,135
GSYVideoPlayer,CarGuo,20915,4277,Java,2016-11-13T12:34:31Z,2025-06-21T04:28:16Z,338255,20915,15,User,54,China 广东 珠海,427,80,23,80,1
LSPosed,LSPosed,20636,3540,Java,2020-12-12T08:39:37Z,2025-06-21T10:27:31Z,21605,20636,5,Organization,34,China,282,0,67,15,3
HikariCP,brettwooldridge,20510,2981,Java,2013-10-08T05:43:03Z,2025-06-21T09:53:58Z,5020,20510,503,User,91,"Tokyo, Japan",705,101,146,46,10
dataease,dataease,20359,3613,Java,2021-02-02T04:10:21Z,2025-06-21T08:07:03Z,303289,20359,176,Organization,10,China,173,6009,84,2000,4
DoKit,didi,20335,3167,Java,2018-08-14T10:32:07Z,2025-06-21T04:28:19Z,58612,20335,266,Organization,86,"Beijing, China",394,7,92,12,33
shardingsphere,apache,20303,6822,Java,2016-01-18T12:49:26Z,2025-06-21T09:55:25Z,662541,20303,542,Organization,2790,,984,3303,319,1622,20
mybatis-3,mybatis,20115,12937,Java,2013-02-14T19:03:32Z,2025-06-20T09:35:02Z,158341,20115,196,Organization,37,"Canada, Colombia, Italy, Japan, Perú, Spain, Russia, Thailand, UK, Ukranie and USA",1138,606,244,206,70
RxAndroid,ReactiveX,19965,2948,Java,2014-08-19T03:46:38Z,2025-06-21T10:00:18Z,1045,19965,1,Organization,42,,985,1,64,2,0
litemall,linlinjava,19754,7296,Java,2018-03-22T16:42:30Z,2025-06-21T10:53:49Z,24591,19754,36,User,6,Shanghai,730,3,61,4,2
SpringBoot-Labs,yudaocode,19702,6111,Java,2018-09-12T14:51:46Z,2025-06-21T10:51:34Z,1813,19702,46,Organization,12,China,808,0,3,0,17
DSA-Bootcamp-Java,kunal-kushwaha,19358,12076,Java,2021-07-30T12:23:25Z,2025-06-21T10:53:58Z,101640,19358,578,User,47,"London, UK",500,1,121,42,394
kestra,kestra-io,19231,1590,Java,2019-08-24T13:56:15Z,2025-06-21T10:23:17Z,62892,19231,465,Organization,116,,138,3491,158,2000,78
thingsboard,thingsboard,19149,5633,Java,2016-12-01T09:33:30Z,2025-06-21T07:42:59Z,303813,19149,653,Organization,80,,572,4824,194,1369,65
cat,dianping,18883,5431,Java,2012-12-05T02:31:48Z,2025-06-21T04:11:18Z,114117,18883,207,Organization,47,"Shanghai, China",1118,2,86,9,18
PhotoView,Baseflow,18853,3927,Java,2012-07-17T16:39:00Z,2025-06-21T08:58:15Z,16896,18853,217,Organization,89,Netherlands,634,0,35,1,14
intellij-community,JetBrains,18100,5444,Java,2011-09-30T13:33:05Z,2025-06-21T10:27:34Z,5326301,18100,298,Organization,741,Netherlands,536,35448,275,201,296
antlr4,antlr,18064,3367,Java,2010-02-04T01:36:28Z,2025-06-21T10:15:43Z,70570,18064,1024,Organization,34,San Francisco,372,34,360,43,157
Algorithms,williamfiset,18000,4476,Java,2017-03-18T02:50:46Z,2025-06-21T01:24:03Z,1274506,18000,116,User,19,San Francisco,426,8,50,4,54
APIJSON,Tencent,17997,2233,Java,2016-11-21T12:03:29Z,2025-06-21T04:29:16Z,73182,17997,230,Organization,211,"Shenzhen, China",386,122,73,126,3
SpringCloudLearning,forezp,17963,8042,Java,2017-04-08T10:06:56Z,2025-06-19T04:01:30Z,582,17963,49,User,80,"ShenZhen,China",831,0,1,0,9
disruptor,LMAX-Exchange,17861,3942,Java,2012-09-21T13:42:24Z,2025-06-21T09:39:47Z,10129,17861,9,Organization,24,,1240,16,53,23,0
Ehviewer_CN_SXJ,xiaojieonly,17855,478,Java,2020-11-09T06:14:31Z,2025-06-21T11:59:00Z,13711,17855,270,User,34,,180,219,12,189,0
Sa-Token,dromara,17827,2771,Java,2020-02-03T10:34:29Z,2025-06-21T08:29:32Z,8793,17827,107,Organization,99,china,158,505,103,66,14
yudao-cloud,YunaiV,17406,4317,Java,2019-05-02T16:06:49Z,2025-06-21T06:58:26Z,43284,17406,7,User,83,"Shanghai, China",339,573,64,32,4
tinker,Tencent,17393,3352,Java,2016-09-06T06:57:52Z,2025-06-20T23:48:03Z,7063,17393,544,Organization,211,"Shenzhen, China",691,8,31,1,14
zipkin,openzipkin,17224,3105,Java,2012-06-06T18:26:16Z,2025-06-21T04:11:25Z,77289,17224,171,Organization,30,,684,34,114,16,0
fresco,facebook,17116,3752,Java,2015-03-02T09:58:04Z,2025-06-20T17:15:22Z,77751,17116,254,Organization,149,"Menlo Park, California",846,424,203,3,15
analysis-ik,infinilabs,17061,3307,Java,2011-12-16T09:01:45Z,2025-06-21T04:55:26Z,7696,17061,382,Organization,60,,588,11,45,31,17
JustAuth,justauth,17018,2818,Java,2019-01-31T09:42:20Z,2025-06-21T11:47:23Z,9643,17018,64,Organization,16,中华人民共和国,329,38,36,3,5
mybatis-plus,baomidou,16930,4396,Java,2016-08-18T10:06:53Z,2025-06-21T05:36:22Z,31814,16930,80,Organization,21,,81,283,187,273,11
Android-Universal-Image-Loader,nostra13,16845,6077,Java,2011-11-27T18:48:23Z,2025-06-21T11:46:29Z,27133,16845,459,User,5,,1320,0,35,0,4
material-components-android,material-components,16828,3146,Java,2016-12-05T16:11:29Z,2025-06-21T04:57:31Z,155964,16828,767,Organization,27,,431,497,206,610,116
java8-tutorial,winterbe,16762,4042,Java,2014-03-16T17:25:43Z,2025-06-20T10:56:24Z,149,16762,19,User,47,,990,0,11,0,4
caffeine,ben-manes,16749,1641,Java,2014-12-13T08:45:11Z,2025-06-20T19:47:04Z,109166,16749,1,User,31,"Mountain View, Ca",368,125,62,80,0
zheng,shuzheng,16732,7340,Java,2016-10-04T10:07:06Z,2025-06-20T14:32:41Z,41267,16732,78,User,42,"Beijing, China",1458,0,8,0,42
DataX,alibaba,16595,5557,Java,2018-01-18T10:09:47Z,2025-06-20T08:01:55Z,22943,16595,1325,Organization,453,"Hangzhou, China",448,39,95,31,209
Grasscutter,Grasscutters,16530,4439,Java,2022-04-17T12:43:46Z,2025-06-21T11:54:03Z,101542,16530,146,Organization,13,The Home Depot,187,4,185,8,3
springboot-learning-example,JeffLi1993,16524,7133,Java,2017-02-06T07:02:25Z,2025-06-19T12:42:44Z,407,16524,54,User,77,"HangZhou, China",1009,0,3,0,39
BigData-Notes,heibaiying,16505,4284,Java,2019-03-10T01:40:01Z,2025-06-21T07:35:13Z,24052,16505,37,User,3,shanghai,447,0,5,2,18
presto,prestodb,16385,5467,Java,2012-08-09T01:03:37Z,2025-06-21T04:11:27Z,242941,16385,2439,Organization,73,Linux Foundation,849,1354,325,979,661
tech-interview-for-developer,gyoogle,16116,3622,Java,2019-06-09T04:42:57Z,2025-06-21T07:12:06Z,6616,16116,15,User,24,South Korea,144,6,73,2,7
SpringBoot-Learning,dyc87112,15777,4867,Java,2016-08-21T03:39:06Z,2025-06-17T08:06:40Z,34384,15777,68,User,65,"Shanghai, China",728,0,1,1,33
VirtualXposed,android-hacker,15722,2518,Java,2017-12-01T09:00:58Z,2025-06-21T04:43:53Z,49794,15722,147,Organization,24,,535,0,37,2,5
Android-CleanArchitecture,android10,15554,3311,Java,2014-08-19T14:09:26Z,2025-06-21T03:34:34Z,5191,15554,143,User,78,"Berlin, Germany",829,0,9,1,15
questdb,questdb,15323,1264,Java,2014-04-28T23:29:15Z,2025-06-21T07:17:29Z,770292,15323,705,Organization,61,,134,542,150,435,39
mockito,mockito,15201,2620,Java,2012-10-13T20:27:12Z,2025-06-21T00:04:07Z,49385,15201,462,Organization,14,,422,162,296,91,23
hadoop,apache,15127,9059,Java,2014-08-28T07:00:08Z,2025-06-21T02:58:41Z,594508,15127,1147,Organization,2790,,976,496,302,471,1147
bytecode-viewer,Konloch,15074,1188,Java,2014-10-14T10:26:46Z,2025-06-21T11:18:37Z,648654,15074,94,User,38,"Seattle, Washington",375,274,41,15,4
flink-learning,zhisheng17,14827,3942,Java,2019-01-01T07:38:28Z,2025-06-19T08:53:39Z,43620,14827,1,User,26,hangzhou China,515,4,6,0,1
pulsar,apache,14676,3644,Java,2016-06-28T07:00:03Z,2025-06-21T11:57:05Z,238780,14676,1562,Organization,2790,,400,747,364,638,383
quarkus,quarkusio,14622,2883,Java,2018-07-06T00:44:20Z,2025-06-21T09:15:07Z,391254,14622,2605,Organization,74,The clouds,257,6970,393,2000,237
jd-gui,java-decompiler,14578,2437,Java,2015-03-25T05:28:41Z,2025-06-21T07:51:43Z,56989,14578,240,Organization,4,,516,0,9,3,21
CircleImageView,hdodenhof,14545,3109,Java,2014-01-17T16:44:46Z,2025-06-20T12:10:33Z,1003,14545,8,User,42,"Hamburg, Germany",395,0,12,0,3
logstash,elastic,14533,3520,Java,2010-11-18T01:31:50Z,2025-06-20T22:26:24Z,131318,14533,2202,Organization,825,,834,331,349,919,240
neo4j,neo4j,14526,2460,Java,2012-11-12T08:46:15Z,2025-06-21T08:18:09Z,669215,14526,271,Organization,89,,519,1030,247,94,2
vert.x,eclipse-vertx,14504,2092,Java,2011-06-17T14:54:55Z,2025-06-21T09:55:59Z,118874,14504,196,Organization,20,,522,376,242,325,85
QMUI_Android,Tencent,14495,2678,Java,2017-04-21T10:03:18Z,2025-06-21T00:56:14Z,21963,14495,427,Organization,211,"Shenzhen, China",329,0,17,1,1
ARouter,alibaba,14484,2614,Java,2016-12-14T01:27:49Z,2025-06-21T05:50:46Z,26589,14484,134,Organization,453,"Hangzhou, China",365,0,19,3,11
Arduino,arduino,14365,6995,Java,2010-09-17T19:10:36Z,2025-06-19T07:16:33Z,1390211,14365,746,Organization,261,,1095,1,248,43,103
supertokens-core,supertokens,14205,582,Java,2020-01-05T13:30:52Z,2025-06-21T02:55:27Z,65213,14205,141,Organization,69,,66,286,29,66,14
onedev,theonedev,14066,905,Java,2018-11-06T02:57:01Z,2025-06-21T11:43:58Z,228234,14066,0,Organization,7,,133,566,30,0,0
deeplearning4j,deeplearning4j,14020,3852,Java,2013-11-27T02:03:28Z,2025-06-20T06:39:45Z,763246,14020,634,Organization,5,,768,114,72,47,0
jib,GoogleContainerTools,13947,1454,Java,2018-01-22T18:30:43Z,2025-06-20T23:40:14Z,16691,13947,222,Organization,23,,325,19,120,36,54
logger,orhanobut,13875,2138,Java,2015-03-20T22:30:12Z,2025-06-20T06:40:16Z,1873,13875,81,User,19,"Sydney, Australia",369,0,11,1,11
doris,apache,13838,3468,Java,2017-08-10T12:13:30Z,2025-06-21T11:30:50Z,1083546,13838,3240,Organization,2790,,285,5966,340,2000,580
zuul,Netflix,13812,2421,Java,2013-03-13T18:53:57Z,2025-06-20T16:49:35Z,5830,13812,8,Organization,232,"Los Gatos, California",895,162,65,116,7
druid,apache,13751,3743,Java,2012-10-23T19:08:07Z,2025-06-21T06:10:57Z,387118,13751,741,Organization,2790,,575,957,358,873,93
zaproxy,zaproxy,13732,2383,Java,2015-06-03T16:55:01Z,2025-06-20T18:46:28Z,201182,13732,841,Organization,44,,399,386,220,240,27
spring-analysis,seaswalker,13686,4178,Java,2016-09-09T07:46:32Z,2025-06-20T16:25:25Z,4951,13686,19,User,61,Mars,594,0,4,0,7
Luban,Curzibn,13657,2249,Java,2016-07-24T07:43:21Z,2025-06-20T07:41:08Z,5029,13657,153,User,8,GuangZhou,362,0,9,0,6
pinpoint,pinpoint-apm,13651,3778,Java,2014-10-20T09:27:22Z,2025-06-21T04:11:40Z,265197,13651,489,Organization,17,,736,1007,120,781,59
AndroidAutoSize,JessYanCoding,13645,1997,Java,2018-08-17T09:04:19Z,2025-06-18T08:00:07Z,3131,13645,122,User,26,"Chengdu,China",198,0,4,1,0
dolphinscheduler,apache,13594,4824,Java,2019-03-01T16:39:25Z,2025-06-21T08:04:16Z,219034,13594,231,Organization,2790,,326,271,360,382,28
Material-Animations,lgvalle,13576,2469,Java,2015-03-08T20:54:00Z,2025-06-21T01:47:23Z,8692,13576,20,User,52,Chiclana de la Frontera,520,0,8,0,4
piggymetrics,sqshq,13563,6252,Java,2015-03-29T17:56:31Z,2025-06-21T09:49:18Z,1512,13563,21,User,33,San Francisco Bay Area,816,0,12,2,14
